epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,9058.42,1.12527,0.98858,1.29308,0.58666,0.47792,0.5354,0.37072,1.16147,1.01055,1.30236,0.00208,0.00208,0.00208
82,9169.38,1.13111,0.97422,1.28914,0.58442,0.48024,0.53708,0.37242,1.15976,1.01407,1.30047,0.001981,0.001981,0.001981
83,9280.41,1.11572,0.96814,1.28414,0.57451,0.48913,0.53957,0.37437,1.15772,1.0083,1.29809,0.001882,0.001882,0.001882
84,9391.29,1.11768,0.96768,1.28686,0.56974,0.48769,0.53553,0.37038,1.15921,1.01326,1.29922,0.001783,0.001783,0.001783
85,9502.33,1.12718,0.96881,1.28797,0.58718,0.47796,0.53286,0.36845,1.15811,1.01074,1.29801,0.001684,0.001684,0.001684
86,9613.06,1.10812,0.94906,1.28479,0.57743,0.48292,0.53235,0.36744,1.16111,1.00892,1.29661,0.001585,0.001585,0.001585
87,9724.19,1.11541,0.94948,1.27907,0.58752,0.47833,0.53293,0.36918,1.15522,1.00862,1.29295,0.001486,0.001486,0.001486
88,9835.21,1.09856,0.93902,1.27771,0.58329,0.48088,0.5334,0.36984,1.15382,1.01142,1.29234,0.001387,0.001387,0.001387
89,9946.15,1.09961,0.93646,1.27568,0.59348,0.47531,0.53472,0.37148,1.15324,1.01282,1.2933,0.001288,0.001288,0.001288
90,10056.8,1.09884,0.93637,1.27838,0.59482,0.47197,0.53703,0.37315,1.15672,1.01473,1.29555,0.001189,0.001189,0.001189
91,10168.6,1.11119,0.89555,1.29862,0.60394,0.47289,0.53744,0.37266,1.15416,1.01371,1.29371,0.00109,0.00109,0.00109
92,10278.1,1.10119,0.86801,1.28916,0.6086,0.47226,0.53951,0.3737,1.15233,1.01212,1.29247,0.000991,0.000991,0.000991
93,10387.7,1.09479,0.85979,1.28521,0.61755,0.46342,0.53536,0.37069,1.15317,1.01362,1.29262,0.000892,0.000892,0.000892
