epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,28795.2,1.0077,0.7803,1.23303,0.59417,0.52994,0.56592,0.40292,1.11139,0.91094,1.29949,0.002575,0.002575,0.002575
77,29173.7,1.00269,0.7711,1.22939,0.58047,0.55329,0.56658,0.40116,1.11303,0.91916,1.30179,0.002476,0.002476,0.002476
78,29552.3,1.00588,0.76893,1.22548,0.59776,0.53733,0.5693,0.40224,1.1159,0.91317,1.30113,0.002377,0.002377,0.002377
79,29930.3,0.98389,0.75316,1.22429,0.61071,0.52124,0.56987,0.40336,1.11904,0.91802,1.30528,0.002278,0.002278,0.002278
80,30308.6,0.99317,0.74412,1.21713,0.60359,0.52445,0.57023,0.40391,1.11559,0.9161,1.30433,0.002179,0.002179,0.002179
81,30687.2,0.98776,0.74965,1.21882,0.61286,0.5269,0.57239,0.40437,1.12282,0.92022,1.30907,0.00208,0.00208,0.00208
82,31065.4,0.98916,0.73867,1.21347,0.61191,0.53224,0.57191,0.40371,1.12253,0.92018,1.31069,0.001981,0.001981,0.001981
83,31443.9,0.97736,0.72942,1.20637,0.63215,0.50753,0.56975,0.40331,1.12357,0.91515,1.30966,0.001882,0.001882,0.001882
84,31821.8,0.97667,0.72714,1.21081,0.62063,0.51147,0.56675,0.4002,1.12771,0.91874,1.31164,0.001783,0.001783,0.001783
85,32200.2,0.98155,0.7276,1.21186,0.63222,0.50222,0.5663,0.40024,1.1258,0.91949,1.31261,0.001684,0.001684,0.001684
