epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,13617.2,1.02869,0.81042,1.22601,0.63001,0.49618,0.55491,0.38954,1.12968,0.94782,1.2666,0.002278,0.002278,0.002278
80,13788.8,1.03651,0.79709,1.218,0.61107,0.52036,0.56148,0.39379,1.12671,0.93769,1.26726,0.002179,0.002179,0.002179
81,13960.4,1.03425,0.80585,1.22173,0.63312,0.50596,0.56374,0.39591,1.13008,0.93385,1.26787,0.00208,0.00208,0.00208
82,14131.9,1.03672,0.79665,1.21731,0.64127,0.50591,0.56976,0.40011,1.12415,0.92775,1.2631,0.001981,0.001981,0.001981
83,14303.7,1.02675,0.7898,1.21281,0.64549,0.51088,0.5706,0.39971,1.13004,0.92749,1.26934,0.001882,0.001882,0.001882
84,14475.3,1.02627,0.7868,1.21552,0.66571,0.49094,0.56799,0.39907,1.13027,0.93359,1.26815,0.001783,0.001783,0.001783
85,14647.4,1.03291,0.78783,1.21604,0.655,0.49909,0.57124,0.40073,1.13493,0.93127,1.26876,0.001684,0.001684,0.001684
86,14819.1,1.01388,0.77097,1.21407,0.65382,0.49764,0.56993,0.39922,1.13684,0.93138,1.26817,0.001585,0.001585,0.001585
87,14991.2,1.02082,0.76706,1.2072,0.64579,0.50785,0.57156,0.39983,1.13658,0.92903,1.2657,0.001486,0.001486,0.001486
88,15162.8,1.00183,0.75753,1.20394,0.66298,0.49983,0.57415,0.40288,1.1314,0.92655,1.26302,0.001387,0.001387,0.001387
89,15334.6,1.0076,0.75741,1.20326,0.64864,0.50745,0.56885,0.39931,1.13222,0.93115,1.26456,0.001288,0.001288,0.001288
90,15506.3,1.00055,0.75718,1.20429,0.62912,0.51868,0.56962,0.40131,1.13162,0.92995,1.26537,0.001189,0.001189,0.001189
91,15678.8,0.99326,0.69713,1.20583,0.64437,0.5047,0.5652,0.39924,1.12756,0.92791,1.2635,0.00109,0.00109,0.00109
92,15849.8,0.98037,0.67239,1.19251,0.64175,0.50048,0.56169,0.39771,1.12294,0.93082,1.26118,0.000991,0.000991,0.000991
93,16020.8,0.97807,0.66905,1.19059,0.64406,0.49825,0.5601,0.39625,1.12541,0.93233,1.26311,0.000892,0.000892,0.000892
94,16191.8,0.96647,0.66376,1.18292,0.63055,0.50739,0.5594,0.39439,1.12679,0.93291,1.26126,0.000793,0.000793,0.000793
95,16363,0.96744,0.65784,1.18717,0.64961,0.49626,0.55942,0.39443,1.12605,0.93463,1.26188,0.000694,0.000694,0.000694
96,16534.1,0.95773,0.6506,1.17902,0.62497,0.50973,0.56292,0.39754,1.12752,0.93621,1.26334,0.000595,0.000595,0.000595
97,16705,0.95509,0.641,1.17905,0.62007,0.51485,0.56285,0.39737,1.1269,0.93731,1.26314,0.000496,0.000496,0.000496
98,16876.4,0.95066,0.63664,1.17498,0.61601,0.51532,0.56296,0.39763,1.12698,0.93785,1.26392,0.000397,0.000397,0.000397
